Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Fraction,,Run Log,,
ml,mAU,ml,Fraction,ml,Logbook,
0.446,0.02,,,,,
0.448,0.02,,,,,
0.45,0.02,,,,,
0.451,0.02,,,,,
0.453,0.02,,,,,
0.455,0.02,,,,,
0.457,0.02,,,,,
0.459,0.02,,,,,
0.461,0.02,,,,,
0.462,0.01556615,,,,,
0.464,0.01,,,,,
0.466,0.01,,,,,
0.468,0.01,,,,,
0.47,0.01,,,,,
0.471,0.01,,,,,
0.473,0.0195852,,,,,
0.475,0.01,,,,,
0.477,0.01,,,,,
0.479,0.01,,,,,
0.481,0.01,,,,,
0.482,0.01,,,,,
0.484,0.01,,,,,
0.486,0.003209876,,,,,
0.488,0,,,,,
0.49,0,,,,,
0.492,0,,,,,
0.493,0,,,,,
0.495,0,,,,,
0.497,0,,,,,
0.499,0,,,,,
0.501,0,,,,,
0.503,0,,,,,
0.504,0,,,,,
0.506,0,,,,,
0.508,0,,,,,
0.51,0,,,,,
0.512,0,,,,,
0.513,0,,,,,
0.515,0,,,,,
0.517,0,,,,,
0.519,0.004293722,,,,,
0.521,0.01,,,,,
0.523,0.01,,,,,
0.524,0.01,,,,,
0.526,0.01,,,,,
0.528,0.01,,,,,
0.53,0.01,,,,,
0.532,0.02,,,,,
0.534,0.02,,,,,
0.535,0.02,,,,,
0.537,0.01628129,,,,,
0.539,0.01,,,,,
0.541,0.01,,,,,
0.543,0.01,,,,,
0.545,0.01,,,,,
0.546,0.01,,,,,
0.548,0.01,,,,,
0.55,0.01,,,,,
0.552,0.01,,,,,
0.554,0.01,,,,,
0.555,0.01,,,,,
0.557,0.01,,,,,
0.559,0.01,,,,,
0.561,0.01,,,,,
0.563,0.01,,,,,
0.565,0.01,,,,,
0.566,0.01,,,,,
0.568,0.01,,,,,
0.57,0.01,,,,,
0.572,0.01,,,,,
0.574,0.01,,,,,
0.576,0.01,,,,,
0.577,0.01,,,,,
0.579,0.01,,,,,
0.581,0.01,,,,,
0.583,0.01,,,,,
0.585,0.01873176,,,,,
0.587,0.02,,,,,
0.588,0.02,,,,,
0.59,0.02,,,,,
0.592,0.02,,,,,
0.594,0.02,,,,,
0.596,0.02,,,,,
0.598,0.02,,,,,
0.599,0.02,,,,,
0.601,0.02,,,,,
0.603,0.02,,,,,
0.605,0.02,,,,,
0.607,0.02,,,,,
0.608,0.02,,,,,
0.61,0.02,,,,,
0.612,0.02,,,,,
0.614,0.02,,,,,
0.616,0.02,,,,,
0.618,0.02,,,,,
0.619,0.02,,,,,
0.621,0.02,,,,,
0.623,0.02,,,,,
0.625,0.02,,,,,
0.627,0.01946128,,,,,
0.629,0.01,,,,,
0.63,0.01,,,,,
0.632,0.01,,,,,
0.634,0.01,,,,,
0.636,0.01,,,,,
0.638,0.01,,,,,
0.64,0.01,,,,,
0.641,0.01,,,,,
0.643,0.01,,,,,
0.645,0.01,,,,,
0.647,0.01,,,,,
0.649,0.01,,,,,
0.65,0.01,,,,,
0.652,0.01,,,,,
0.654,0.01,,,,,
0.656,0.01,,,,,
0.658,0.01,,,,,
0.66,0.01,,,,,
0.661,0.01,,,,,
0.663,0.01,,,,,
0.665,0.01,,,,,
0.667,0.01,,,,,
0.669,0.01,,,,,
0.671,0.01,,,,,
0.672,0.01,,,,,
0.674,0.01,,,,,
0.676,0.01,,,,,
0.678,0.01,,,,,
0.68,0.01,,,,,
0.682,0.01,,,,,
0.683,0.01,,,,,
0.685,0.01,,,,,
0.687,0.01,,,,,
0.689,0.01,,,,,
0.691,0.01,,,,,
0.692,0.01,,,,,
0.694,0.01,,,,,
0.696,0.01,,,,,
0.698,0.01,,,,,
0.7,0.01,,,,,
0.702,0.01,,,,,
0.703,0.01,,,,,
0.705,0.01,,,,,
0.707,0.01,,,,,
0.709,0.01,,,,,
0.711,0.01,,,,,
0.713,0.004500561,,,,,
0.714,0,,,,,
0.716,0,,,,,
0.718,0,,,,,
0.72,0,,,,,
0.722,0,,,,,
0.724,0,,,,,
0.725,0,,,,,
0.727,0,,,,,
0.729,0,,,,,
0.731,0,,,,,
0.733,0,,,,,
0.734,0,,,,,
0.736,0,,,,,
0.738,0,,,,,
0.74,0,,,,,
0.742,0,,,,,
0.744,0,,,,,
0.745,0,,,,,
0.747,0,,,,,
0.749,0,,,,,
0.751,0,,,,,
0.753,0,,,,,
0.755,0,,,,,
0.756,0,,,,,
0.758,0,,,,,
0.76,0,,,,,
0.762,0,,,,,
0.764,0,,,,,
0.766,0,,,,,
0.767,0,,,,,
0.769,0,,,,,
0.771,0,,,,,
0.773,0,,,,,
0.775,0,,,,,
0.776,0,,,,,
0.778,0,,,,,
0.78,0,,,,,
0.782,0,,,,,
0.784,0,,,,,
0.786,0,,,,,
0.787,0,,,,,
0.789,0,,,,,
0.791,0,,,,,
0.793,0,,,,,
0.795,0,,,,,
0.797,0,,,,,
0.798,0,,,,,
0.8,0,,,,,
0.802,0,,,,,
0.804,0,,,,,
0.806,0,,,,,
0.808,0,,,,,
0.809,0,,,,,
0.811,0,,,,,
0.813,0,,,,,
0.815,0,,,,,
0.817,0,,,,,
0.819,0,,,,,
0.82,0,,,,,
0.822,0,,,,,
0.824,0,,,,,
0.826,0,,,,,
0.828,0,,,,,
0.829,0,,,,,
0.831,0,,,,,
0.833,0,,,,,
0.835,0,,,,,
0.837,0,,,,,
0.839,0,,,,,
0.84,0,,,,,
0.842,0,,,,,
0.844,0,,,,,
0.846,0,,,,,
0.848,0,,,,,
0.85,0,,,,,
0.851,0,,,,,
0.853,0,,,,,
0.855,0,,,,,
0.857,0,,,,,
0.859,0,,,,,
0.861,0,,,,,
0.862,0,,,,,
0.864,0,,,,,
0.866,-0.005995232,,,,,
0.868,-0.01,,,,,
0.87,-0.01,,,,,
0.871,-0.01,,,,,
0.873,-0.0002132435,,,,,
0.875,0,,,,,
0.877,0,,,,,
0.879,0,,,,,
0.881,0,,,,,
0.882,0,,,,,
0.884,0,,,,,
0.886,0,,,,,
0.888,0,,,,,
0.89,0,,,,,
0.892,0,,,,,
0.893,0,,,,,
0.895,0,,,,,
0.897,0.002401796,,,,,
0.899,0.01,,,,,
0.901,0.01,,,,,
0.903,0.01,,,,,
0.904,0.01597082,,,,,
0.906,0.02,,,,,
0.908,0.02,,,,,
0.91,0.02,,,,,
0.912,0.02,,,,,
0.913,0.02,,,,,
0.915,0.02,,,,,
0.917,0.02,,,,,
0.919,0.02,,,,,
0.921,0.02,,,,,
0.923,0.01451074,,,,,
0.924,0.01,,,,,
0.926,0.01,,,,,
0.928,0.01,,,,,
0.93,0.01,,,,,
0.932,0.01,,,,,
0.934,0.01,,,,,
0.935,0.01,,,,,
0.937,0.01,,,,,
0.939,0.01,,,,,
0.941,0.01,,,,,
0.943,0.01,,,,,
0.945,0.01,,,,,
0.946,0.01,,,,,
0.948,0.0009415971,,,,,
0.95,0,,,,,
0.952,0,,,,,
0.954,0,,,,,
0.955,0,,,,,
0.957,0,,,,,
0.959,0,,,,,
0.961,0,,,,,
0.963,0,,,,,
0.965,0,,,,,
0.966,0,,,,,
0.968,0,,,,,
0.97,0,,,,,
0.972,0,,,,,
0.974,0.002469136,,,,,
0.976,0.01,,,,,
0.977,0.01,,,,,
0.979,0.01,,,,,
0.981,0.003973064,,,,,
0.983,0,,,,,
0.985,0,,,,,
0.987,0,,,,,
0.988,0,,,,,
0.99,0,,,,,
0.992,0,,,,,
0.994,0,,,,,
0.996,0,,,,,
0.998,0,,,,,
0.999,0,,,,,
1.001,0,,,,,
1.003,0,,,,,
1.005,0,,,,,
1.007,0,,,,,
1.008,0,,,,,
1.01,0,,,,,
1.012,0,,,,,
1.014,0,,,,,
1.016,0,,,,,
1.018,0,,,,,
1.019,0,,,,,
1.021,0,,,,,
1.023,0,,,,,
1.025,0,,,,,
1.027,0.009921436,,,,,
1.029,0.01,,,,,
1.03,0.01,,,,,
1.032,0.01292014,,,,,
1.034,0.02,,,,,
1.036,0.02,,,,,
1.038,0.02,,,,,
1.04,0.02689113,,,,,
1.041,0.0376431,,,,,
1.043,0.04,,,,,
1.045,0.04,,,,,
1.047,0.05,,,,,
1.049,0.05,,,,,
1.05,0.05253648,,,,,
1.052,0.0669845,,,,,
1.054,0.08,,,,,
1.056,0.08,,,,,
1.058,0.08648391,,,,,
1.06,0.09743274,,,,,
1.061,0.1,,,,,
1.063,0.1,,,,,
1.065,0.1105163,,,,,
1.067,0.13,,,,,
1.069,0.13,,,,,
1.071,0.133083,,,,,
1.072,0.1438159,,,,,
1.074,0.15,,,,,
1.076,0.15,,,,,
1.078,0.1632735,,,,,
1.08,0.1778401,,,,,
1.082,0.18,,,,,
1.083,0.18,,,,,
1.085,0.1907856,,,,,
1.087,0.2,,,,,
1.089,0.2,,,,,
1.091,0.2072197,,,,,
1.092,0.22,,,,,
1.094,0.22,,,,,
1.096,0.226431,,,,,
1.098,0.2443434,,,,,
1.1,0.25,,,,,
1.102,0.25,,,,,
1.103,0.2699776,,,,,
1.105,0.29,,,,,
1.107,0.29,,,,,
1.109,0.2929917,,,,,
1.111,0.3083053,,,,,
1.113,0.32,,,,,
1.114,0.32,,,,,
1.116,0.3408856,,,,,
1.118,0.3577105,,,,,
1.12,0.36,,,,,
1.122,0.36,,,,,
1.124,0.3805721,,,,,
1.125,0.39,,,,,
1.127,0.3926038,,,,,
1.129,0.4071037,,,,,
1.131,0.42,,,,,
1.133,0.42,,,,,
1.134,0.4265554,,,,,
1.136,0.4450168,,,,,
1.138,0.45,,,,,
1.14,0.45,,,,,
1.142,0.4703255,,,,,
1.144,0.48,,,,,
1.145,0.48,,,,,
1.147,0.483139,,,,,
1.149,0.494124,,,,,
1.151,0.5,,,,,
1.153,0.5,,,,,
1.155,0.514255,,,,,
1.156,0.5280359,,,,,
1.158,0.53,,,,,
1.16,0.5301233,,,,,
1.162,0.540853,,,,,
1.164,0.55,,,,,
1.166,0.55,,,,,
1.167,0.5536813,,,,,
1.169,0.564708,,,,,
1.171,0.57,,,,,
1.173,0.57,,,,,
1.175,0.5776877,,,,,
1.176,0.58,,,,,
1.178,0.58,,,,,
1.18,0.5806509,,,,,
1.182,0.59,,,,,
1.184,0.59,,,,,
1.186,0.593468,,,,,
1.187,0.6042088,,,,,
1.189,0.61,,,,,
1.191,0.61,,,,,
1.193,0.6170291,,,,,
1.195,0.6282697,,,,,
1.197,0.63,,,,,
1.198,0.63,,,,,
